"","Taxa","Sub.lineage","Major.Sub.lineage","Sub.lineage.sing"
"1","PHE160283A","10","0","10"
"2","PHE130048A","10","0","10"
"3","Mexico_A-mcf","singleton_1","1","singleton"
"4","TPA_RUS_Tuva-41","9","1","9"
"5","TPA_RUS_Tuva-62","9","1","9"
"6","TPA_RUS_Tuva-39","9","1","9"
"7","TPA_RUS_Tuva-49","9","1","9"
"8","TPA_RUS_Tuva-58","9","1","9"
"9","TPA_RUS_Tuva-54","9","1","9"
"10","TPA_RUS_Tuva-59","9","1","9"
"11","TPA_RUS_Tuva-61","9","1","9"
"12","PHE140073A","singleton_2","1","singleton"
"13","UW370B","6","1","6"
"14","UW337B","6","1","6"
"15","UW116B","6","1","6"
"16","UW186B","6","1","6"
"17","UW330B","6","1","6"
"18","UW254B","6","1","6"
"19","UW213B","6","1","6"
"20","UW215B","6","1","6"
"21","PHE150137A","6","1","6"
"22","PHE150129A","6","1","6"
"23","UW228B","6","1","6"
"24","TPA_UKBRG017","6","1","6"
"25","TPA_BCC161","6","1","6"
"26","TPA_OMI006","6","1","6"
"27","TPA_ALC105","6","1","6"
"28","UW231B","6","1","6"
"29","UW187B","6","1","6"
"30","PHE150177A","6","1","6"
"31","TPA_BCC085","6","1","6"
"32","Amoy","6","1","6"
"33","K3","6","1","6"
"34","TPA_BCC004","6","1","6"
"35","SHC_0","6","1","6"
"36","B3","6","1","6"
"37","SHD_R","6","1","6"
"38","SHE_V","6","1","6"
"39","SHG_I2","6","1","6"
"40","C3","6","1","6"
"41","Q3","6","1","6"
"42","TPA_BCC075","6","1","6"
"43","TPA_BCC165","6","1","6"
"44","SMUTp_04","6","1","6"
"45","TPA_USL-BAL-2","singleton_3","1","singleton"
"46","SS14_v2","singleton_4","1","singleton"
"47","UW824B","1","1","1"
"48","PHE140084A","7","1","7"
"49","TPA_HUN200024","7","1","7"
"50","CZ27","7","1","7"
"51","TPA_HUN190022","7","1","7"
"52","TPA_SWE-507","7","1","7"
"53","TPA_UKBRG004","7","1","7"
"54","TPA_HUN190008","7","1","7"
"55","TPA_RUS_Tuva-67","7","1","7"
"56","UW099B","1","1","1"
"57","TPA_USL-SEA-81-8","singleton_5","1","singleton"
"58","TPA_ZIM025","8","1","8"
"59","TPA_ZIM024","8","1","8"
"60","TPA_ZIM005","8","1","8"
"61","TPA_ZIM004","8","1","8"
"62","TPA_ZIM009","8","1","8"
"63","TPA_ZIM019","8","1","8"
"64","TPA_ZIM007","8","1","8"
"65","TPA_ZIM028","8","1","8"
"66","UW262B","singleton_6","1","singleton"
"67","UW391B","5","1","5"
"68","PHE130039A","5","1","5"
"69","PHE150151A","5","1","5"
"70","TPA_UKBIR026","5","1","5"
"71","TPA_OMI002","5","1","5"
"72","TPA_BCC139","5","1","5"
"73","TPA_BCC137","5","1","5"
"74","TPA_UKBRG015","5","1","5"
"75","TPA_UKBRG018","5","1","5"
"76","PHE130041A","5","1","5"
"77","PHE130050A","5","1","5"
"78","TPA_BCC130","5","1","5"
"79","TPA_BCC143","5","1","5"
"80","UW376B","5","1","5"
"81","PHE150159A","5","1","5"
"82","UW280B","5","1","5"
"83","UW195B","5","1","5"
"84","UW244B","5","1","5"
"85","UW291B","5","1","5"
"86","TPA_BCC125","5","1","5"
"87","PT_SIF1002","5","1","5"
"88","PT_SIF1196","5","1","5"
"89","PT_SIF1242","5","1","5"
"90","PT_SIF0857","5","1","5"
"91","PHE160254A","singleton_7","1","singleton"
"92","PT_SIF1183","singleton_8","1","singleton"
"93","PHE160249A","singleton_9","1","singleton"
"94","PHE170379A","singleton_10","1","singleton"
"95","PT_SIF1020","4","1","4"
"96","PT_SIF1063","4","1","4"
"97","NL16","3","1","3"
"98","PHE160315A","3","1","3"
"99","SW6","3","1","3"
"100","PHE160260A","3","1","3"
"101","PHE150131A","3","1","3"
"102","PHE150123A","3","1","3"
"103","PHE160311A","3","1","3"
"104","PHE170408A","3","1","3"
"105","PHE170402A","3","1","3"
"106","PHE170398A","3","1","3"
"107","PHE170380A","3","1","3"
"108","PHE170365A","3","1","3"
"109","UW148B","3","1","3"
"110","UW473B","3","1","3"
"111","UW492B","3","1","3"
"112","TPA_BCC183","3","1","3"
"113","UW248B","3","1","3"
"114","TPA_USL-SEA-81-3","2","1","2"
"115","UW133B","2","1","2"
"116","AR2","2","1","2"
"117","TPA_USL-SEA-84-2","2","1","2"
"118","PHE160268A","2","1","2"
"119","PHE150136A","2","1","2"
"120","TPA_USL-Grady-1","2","1","2"
"121","TPA_USL-Phil-1","2","1","2"
"122","PHE160215A","2","1","2"
