Time	Mean	Median	Upper	Lower
2019.5	94.0	94.0	94.0	94.0
2016.7163724852367	88.24449108079749	88.0	92.0	84.0
2013.9327449704733	50.13536201469045	50.0	60.0	43.0
2011.14911745571	34.94987963705944	35.0	40.0	32.0
2008.3654899409466	32.67271567598708	32.0	36.0	31.0
2005.5818624261833	31.84159414027941	32.0	34.0	30.0
2002.79823491142	30.712404584079174	31.0	33.0	29.0
2000.0146073966566	29.411558957266013	29.0	32.0	27.0
1997.2309798818933	28.594016830236818	29.0	31.0	26.0
1994.44735236713	27.9630269736436	28.0	30.0	26.0
1991.6637248523666	27.386395901487564	27.0	30.0	25.0
1988.8800973376033	26.778470464786125	27.0	29.0	24.0
1986.09646982284	26.12180318087361	26.0	29.0	23.0
1983.3128423080766	25.168775589984158	25.0	28.0	22.0
1980.5292147933133	24.1253009073514	24.0	28.0	21.0
1977.74558727855	23.214081435302347	23.0	27.0	20.0
1974.9619597637866	22.461329547558794	22.0	27.0	20.0
1972.1783322490232	21.779684381622534	21.0	26.0	19.0
1969.39470473426	20.973808201139846	21.0	25.0	18.0
1966.6110772194966	20.28125835853754	20.0	24.0	18.0
1963.8274497047332	19.715470238462647	20.0	23.0	17.0
1961.04382218997	19.258008764891056	19.0	23.0	17.0
1958.2601946752065	18.865378680328377	19.0	22.0	17.0
1955.4765671604432	18.493446906569552	18.0	22.0	16.0
1952.6929396456799	18.113717260251423	18.0	21.0	16.0
1949.9093121309165	17.60702014278954	18.0	21.0	15.0
1947.1256846161532	16.96697734707734	17.0	20.0	13.0
1944.3420571013899	16.29197786144888	16.0	20.0	12.0
1941.5584295866265	15.621875192889329	16.0	20.0	12.0
1938.7748020718632	14.986544040491328	15.0	19.0	12.0
1935.9911745570998	14.410283315844701	14.0	19.0	12.0
1933.2075470423365	13.916054564533054	13.0	19.0	12.0
1930.4239195275732	13.502808468613049	13.0	18.0	12.0
1927.6402920128098	13.164105096393227	12.0	18.0	12.0
1924.8566644980465	12.890603460691727	12.0	17.0	11.0
1922.0730369832831	12.671172561364525	12.0	17.0	11.0
1919.2894094685198	12.491163096928172	12.0	16.0	11.0
1916.5057819537565	12.338333024710408	12.0	16.0	11.0
