"Taxa","Sub-lineage","Major.Sub-lineage","pinecone_95","pinecone_80","pinecone_50","pinecone_20","pinecone_5"
"PHE160283A","10","0",22,21,19,19,17
"PHE130048A","10","0",22,21,19,19,17
"Mexico_A-mcf","singleton_1","1",1,1,1,1,1
"TPA_RUS_Tuva-41","9","1",173,58,41,33,21
"TPA_RUS_Tuva-62","9","1",173,58,41,33,21
"TPA_RUS_Tuva-39","9","1",173,58,41,33,21
"TPA_RUS_Tuva-49","9","1",173,58,41,33,21
"TPA_RUS_Tuva-58","9","1",173,58,41,33,21
"TPA_RUS_Tuva-54","9","1",173,58,41,33,21
"TPA_RUS_Tuva-59","9","1",173,58,41,33,21
"TPA_RUS_Tuva-61","9","1",174,58,41,33,21
"PHE140073A","singleton_2","1",185,64,44,36,23
"UW370B","6","1",169,57,40,32,20
"UW337B","6","1",170,57,40,32,20
"UW116B","6","1",170,57,40,32,20
"UW186B","6","1",170,57,40,32,20
"UW330B","6","1",171,57,40,32,20
"UW254B","6","1",170,57,40,32,20
"UW213B","6","1",170,57,40,32,20
"UW215B","6","1",170,57,40,32,20
"PHE150137A","6","1",170,57,40,32,20
"PHE150129A","6","1",172,57,40,32,20
"UW228B","6","1",170,57,40,32,20
"TPA_UKBRG017","6","1",172,57,40,32,20
"TPA_BCC161","6","1",172,57,40,32,20
"TPA_OMI006","6","1",172,57,40,32,20
"TPA_ALC105","6","1",172,57,40,32,20
"UW231B","6","1",170,57,40,32,20
"UW187B","6","1",175,57,40,32,20
"PHE150177A","6","1",184,63,40,32,20
"TPA_BCC085","6","1",187,63,40,32,20
"Amoy","6","1",188,63,40,32,20
"K3","6","1",183,63,40,32,20
"TPA_BCC004","6","1",180,63,40,32,20
"SHC_0","6","1",182,63,40,32,20
"B3","6","1",182,63,40,32,20
"SHD_R","6","1",182,63,40,32,20
"SHE_V","6","1",182,63,40,32,20
"SHG_I2","6","1",182,63,40,32,20
"C3","6","1",182,63,40,32,20
"Q3","6","1",182,63,40,32,20
"TPA_BCC075","6","1",186,63,40,32,20
"TPA_BCC165","6","1",186,63,40,32,20
"SMUTp_04","6","1",181,63,40,32,20
"TPA_USL-BAL-2","singleton_3","1",168,56,39,31,19
"SS14_v2","singleton_4","1",190,66,46,38,25
"UW824B","1","1",92,45,33,28,18
"PHE140084A","7","1",189,65,45,37,24
"TPA_HUN200024","7","1",189,65,45,37,24
"CZ27","7","1",189,65,45,37,24
"TPA_HUN190022","7","1",189,65,45,37,24
"TPA_SWE-507","7","1",189,65,45,37,24
"TPA_UKBRG004","7","1",189,65,45,37,24
"TPA_HUN190008","7","1",189,65,45,37,24
"TPA_RUS_Tuva-67","7","1",189,65,45,37,24
"UW099B","1","1",167,55,38,21,18
"TPA_USL-SEA-81-8","singleton_5","1",177,60,42,34,22
"TPA_ZIM025","8","1",178,61,43,35,22
"TPA_ZIM024","8","1",178,61,43,35,22
"TPA_ZIM005","8","1",178,61,43,35,22
"TPA_ZIM004","8","1",178,61,43,35,22
