Time	Mean	Median	Upper	Lower
2019.5	520.0	520.0	520.0	520.0
2015.479435522102	460.29202666008393	461.0	479.0	440.0
2011.458871044204	311.6420636879783	311.0	362.0	264.0
2007.438306566306	191.77528182341808	191.0	222.0	169.0
2003.417742088408	132.74047560273183	132.0	155.0	116.0
1999.39717761051	75.56027318357607	75.0	89.0	66.0
1995.376613132612	63.577799720233685	63.0	71.0	57.0
1991.356048654714	57.31128116514441	57.0	64.0	51.0
1987.335484176816	52.54916481527195	52.0	58.0	47.0
1983.314919698918	47.183329219122854	47.0	53.0	41.0
1979.29435522102	41.477906689706245	41.0	48.0	35.0
1975.273790743122	36.57228667818646	36.0	43.0	31.0
1971.253226265224	32.84785649633835	33.0	39.0	29.0
1967.232661787326	29.81658849666749	30.0	35.0	26.0
1963.212097309428	27.35118900682959	27.0	32.0	23.0
1959.19153283153	25.144326503743933	25.0	30.0	21.0
1955.170968353632	23.145643051098496	23.0	28.0	19.0
1951.150403875734	21.497243478976383	21.0	26.0	18.0
1947.129839397836	19.997613757919854	20.0	24.0	17.0
1943.109274919938	18.652349214185797	19.0	22.0	15.0
1939.0887104420399	17.41092734304287	17.0	21.0	14.0
1935.0681459641419	16.33144079651115	16.0	20.0	14.0
1931.0475814862439	15.491236731671192	15.0	19.0	14.0
1927.0270170083459	14.894923064263967	15.0	18.0	14.0
1923.0064525304479	14.517403110343125	14.0	17.0	14.0
1918.9858880525499	14.279684028634906	14.0	16.0	14.0
1914.9653235746518	14.129103924956802	14.0	15.0	13.0
1910.9447590967538	14.022299020817906	14.0	15.0	13.0
1906.9241946188558	13.92586192709619	14.0	15.0	13.0
1902.9036301409578	13.819797580844236	14.0	15.0	12.0
1898.8830656630598	13.688471982226611	14.0	14.0	12.0
1894.8625011851618	13.521270468197153	14.0	14.0	11.0
1890.8419367072638	13.315642228256397	14.0	14.0	11.0
1886.8213722293658	13.065333662470172	13.0	14.0	10.0
1882.8008077514678	12.776433802353328	13.0	14.0	10.0
1878.7802432735698	12.443841026906936	13.0	14.0	9.0
1874.7596787956718	12.072492388710607	12.0	14.0	9.0
1870.7391143177738	11.674812803423023	12.0	14.0	8.0
1866.7185498398758	11.257385007817	11.0	14.0	8.0
1862.6979853619778	10.809429770427055	11.0	14.0	7.0
1858.6774208840798	10.353410680490414	11.0	14.0	6.0
1854.6568564061818	9.877314243396691	10.0	13.0	6.0
1850.6362919282838	9.379577059162347	9.0	13.0	5.0
1846.6157274503857	8.883896980169505	9.0	13.0	5.0
1842.5951629724877	8.380153048629968	8.0	12.0	4.0
1838.5745984945897	7.886694643297951	8.0	12.0	4.0
1834.5540340166917	7.40130009051263	7.0	12.0	4.0
1830.5334695387937	6.931045832304781	7.0	11.0	4.0
1826.5129050608957	6.5010285526207525	6.0	11.0	4.0
1822.4923405829977	6.095449683205793	6.0	11.0	4.0
1818.4717761050997	5.725746729202666	5.0	10.0	4.0
1814.4512116272017	5.402698922076853	5.0	9.0	4.0
1810.4306471493037	5.115033325104912	4.0	9.0	4.0
1806.4100826714057	4.876655969719411	4.0	8.0	4.0
1802.3895181935077	4.677528182341809	4.0	8.0	4.0
1798.3689537156097	4.516909405085165	4.0	8.0	4.0
1794.3483892377117	4.387805480128363	4.0	7.0	4.0
1790.3278247598137	4.286760470665679	4.0	7.0	4.0
1786.3072602819157	4.21278696618119	4.0	6.0	4.0
1782.2866958040177	4.1572451246605775	4.0	6.0	4.0
1778.2661313261196	4.113305356702049	4.0	6.0	4.0
1774.2455668482216	4.081049946515264	4.0	5.0	4.0
1770.2250023703236	4.058010367810417	4.0	5.0	4.0
1766.2044378924256	4.040895252201103	4.0	5.0	4.0
1762.1838734145276	4.028058915494117	4.0	4.0	4.0
1758.1633089366296	4.0195836418991195	4.0	4.0	4.0
1754.1427444587316	4.013988315642228	4.0	4.0	4.0
1750.1221799808336	4.010367810417181	4.0	4.0	4.0
1746.1016155029356	4.007487863079075	4.0	4.0	4.0
1742.0810510250376	4.00501933678927	4.0	4.0	4.0
1738.0604865471396	4.0032090841767465	4.0	4.0	4.0
1734.0399220692416	4.002139389451164	4.0	4.0	4.0
1730.0193575913436	4.001151978935242	4.0	4.0	4.0
1725.9987931134456	4.000411421048301	4.0	4.0	4.0
1721.9782286355476	3.9997531473710195	4.0	4.0	4.0
1717.9576641576496	3.999012589484078	4.0	4.0	4.0
1713.9370996797516	3.9981897473874763	4.0	4.0	4.0
1709.9165352018535	3.9972023368715544	4.0	4.0	4.0
1705.8959707239555	3.995638936888011	4.0	4.0	4.0
1701.8754062460575	3.993581831646507	4.0	4.0	4.0
1697.8548417681595	3.9907841685180614	4.0	4.0	4.0
