MCMC_step,Date_of_change
300000,2012.347501763745
500000,2010.7073029660914
600000,2011.934020879664
900000,2011.2126996318673
1000000,2010.855155109566
1100000,2011.2167722342058
1200000,2011.3378297622776
1300000,2011.8943818783694
1500000,2010.3655793659466
1600000,2010.7336090883819
1700000,2012.6325242952728
1800000,2013.2287877770643
2200000,2008.9591181740027
2400000,2013.1343887932462
2500000,2014.1958036189194
2700000,2011.630827983874
2800000,2011.873369855593
3000000,2010.1359896926833
3100000,2013.3337251911137
3200000,2012.0584468991008
3300000,2012.928940034542
3400000,2009.9733188876703
3500000,2010.2235883461335
3600000,2010.952432657615
3900000,2010.2421372402182
4000000,2010.134041417897
4100000,2011.504225158682
4300000,2010.3909220372125
4500000,2012.1233590371855
4600000,2013.0485556910364
4700000,2012.57958807622
4900000,2008.4551912154357
5400000,2012.920093088953
5600000,2013.4594212707518
5800000,2012.301534502293
5900000,2009.084752464906
6400000,2010.809467771686
6500000,2008.4505923818765
6600000,2010.2767515370128
6700000,2010.1145322889656
6900000,2010.849061182882
7000000,2011.79586900923
7100000,2011.7272012936796
7700000,2012.7531398231113
7800000,2012.265894101994
7900000,2012.8483199677903
8000000,2010.804951528041
8400000,2009.98391723757
8600000,2011.2074838485155
8700000,2014.624126578789
8800000,2004.1127031847877
9100000,2008.115256510171
9400000,2010.8937986773863
9500000,2009.1100347221895
9600000,2008.980725673528
9700000,2008.1881904092006
9800000,2008.2769060575686
9900000,2008.3672948438066
10000000,2008.3401921162895
10200000,2014.7451282018678
10300000,2012.0373529754602
10400000,2009.897594436717
10500000,2012.1441050888775
10600000,2010.9825479917001
10800000,2013.5771129477462
10900000,2012.5710780364184
11000000,2011.3419809640623
11100000,2012.8809149384613
11300000,2012.495183497469
11600000,2011.800875864317
11800000,2012.394038645572
11900000,2012.4595977183753
12300000,2012.2904911367868
12400000,2012.2800459377547
12700000,2012.5349458807993
12800000,2012.5476813327996
13200000,2011.6701233829044
13400000,2012.4093473715475
13500000,2012.7330183479555
13600000,2012.2499107572255
13700000,2011.4495529278947
14000000,2012.140522229862
14100000,2004.3609073710068
14200000,2012.3032377463296
14500000,2012.5537162802143
14600000,2012.4184153618698
15000000,2014.4288901305997
15400000,2012.5332458134537
15500000,2010.2122711610182
15600000,2013.3468138116086
16200000,2012.2354349821298
16400000,2012.1163973778007
16500000,2013.5179647742045
16600000,2014.161875361325
16700000,2010.3852361045836
16900000,2011.821948968504
17100000,2013.0595661275245
17200000,2009.6154295078672
17300000,2011.3346170087962
17400000,2013.2423565259282
17600000,2012.221528118183
17900000,2011.7477003034528
18100000,2011.4784790615852
18200000,2012.3403142890272
18300000,2012.3054452268675
18400000,2011.1903111071692
18500000,2011.6412544793725
18600000,2011.319368921326
18700000,2014.6164435800417
18900000,2013.004964363373
19000000,2011.6190496875897
19200000,2010.8609032921272
19300000,2010.900673227086
19400000,2010.365420457027
19500000,2010.4066787495995
19600000,2011.925577022545
19700000,2010.1032340604454
19800000,2009.9008765289134
19900000,2010.3910840689307
20200000,2012.2453521775485
20300000,2010.9575990891517
20600000,2009.3711069229264
20700000,2012.5504414492418
20800000,2012.1708083105982
20900000,2008.826775465073
21100000,2011.7616467126145
21300000,2014.4207292857745
21600000,2010.6612337872655
21700000,2010.6381184636102
21800000,2010.6711478230052
22000000,2011.2389154571722
22100000,2010.7399732667213
22300000,2010.4259126093684
22500000,2013.2328805253367
22800000,2005.786015552044
22900000,2013.1633291306275
23000000,2012.4069151704118
23100000,2012.4038041303984
24000000,2013.3424768211325
24200000,2012.3411084192114
24400000,2013.8036128185079
24500000,2013.738070740073
24700000,2011.482199689596
24800000,2013.3726908864041
25100000,2011.2691771078498
25200000,2012.3255984826799
25500000,2011.6269233481905
25800000,2010.6818327272772
25900000,2010.6120747674659
26000000,2014.8686693325467
26100000,2014.1373193172585
26200000,2010.645026697326
26300000,2010.9104164753014
26400000,2014.2338831883333
26500000,2009.9813109539828
26600000,2012.0828790870123
26700000,2012.2464699842249
26900000,2013.7205710586106
27000000,2011.124901094958
27100000,2012.3342281206105
27200000,2013.0851527476832
27300000,2012.2492110093922
27400000,2011.7837841706867
27500000,2012.1186158957416
27600000,2012.6550031869106
27700000,2010.9616957980393
27800000,2010.660966066821
27900000,2014.196127068854
28000000,2011.4599141200451
28100000,2011.3624456342122
28200000,2012.5918997080514
28300000,2013.1276340321529
28600000,2009.3818311138211
28700000,2012.1182112890956
29100000,2011.72141916469
29200000,2011.3792307798435
29300000,2010.9497321294698
29700000,2012.4821823599698
29900000,2012.3588137751772
30000000,2012.1148342078154
30100000,2012.4023142297174
30200000,2012.08853152554
30300000,2011.924928977692
30400000,2010.7678012129709
30700000,2012.6203923762719
30800000,2012.4170651706881
30900000,2003.1628251205623
31000000,2014.0524695110137
31200000,2014.0087963620467
31300000,2012.0620087428922
31400000,2012.1068874991192
31500000,2012.1000147392951
31600000,2012.2680711903063
31700000,2012.250463197984
31800000,2012.2680972102937
31900000,2012.2176368858811
32000000,2013.1557230159494
32200000,2010.6469200472538
32300000,2012.1155849216739
32500000,2013.7426339749352
32600000,2013.802111331468
32700000,2012.793910348645
32800000,2012.5592459459094
33100000,2012.8564888348742
33200000,2012.13052621418
33300000,2012.124151974359
33400000,2012.4117719681963
33500000,2012.4647060634866
33600000,2011.5352304078292
33900000,2014.9729329351605
34200000,2011.6286291223964
34300000,2010.4185486451192
34400000,2010.813413109702
34500000,2013.8285874774022
34800000,2010.190907139881
34900000,2010.0992396300212
35100000,2010.2335487737096
35200000,2009.875272246119
35300000,2009.3552147620305
35500000,2014.2478513219412
35700000,2009.2157746745133
35900000,2012.9902058247706
36000000,2013.112213503101
36300000,2010.9550857659638
36400000,2011.141075000386
36500000,2012.9429465164264
36600000,2009.294091081389
36800000,2014.9295729409466
37000000,2014.339681890515
37500000,2011.450134166536
37600000,2010.5254037307493
37700000,2010.5049570979597
37800000,2010.5007605361805
37900000,2010.5509588888187
38000000,2010.5606437753627
38100000,2010.6511828529622
38400000,2012.2268249948384
38500000,2010.8237883124839
38600000,2011.6767065849826
38700000,2013.536014895532
38900000,2014.8179315346792
39300000,2007.685310893975
39400000,2010.9136745355095
39500000,2010.1539368352305
39600000,2010.2656978142932
39700000,2010.287459762847
39900000,2011.020153869134
40000000,2010.1121318353873
40100000,2010.780179292327
40200000,2009.9418331752527
40300000,2010.2950327039123
40400000,2010.219504746246
40500000,2012.733248950296
40700000,2009.8319574303564
40800000,2009.7407426520208
40900000,2010.6342490134489
41200000,2009.660865887025
41700000,2009.1034264267357
42200000,2013.118755407831
42300000,2011.5587490178189
42600000,2013.742628946335
42700000,2011.1315553047496
42800000,2011.3202085840344
42900000,2011.211410932076
43000000,2011.6656559687392
43100000,2011.121727048117
43600000,2010.8670011147765
44000000,2013.1518418163478
44100000,2010.364022520258
44200000,2010.2855158531759
44300000,2011.0895028247432
44400000,2011.1895268743704
44500000,2010.9683956627132
44600000,2013.2098162300194
44800000,2011.2679945455955
44900000,2012.3795578087763
45200000,2011.508242813826
45400000,2012.3011021602622
45600000,2012.5468942278858
46300000,2012.107488518757
46400000,2012.3856947104453
46500000,2012.2368164918385
46600000,2012.4851514580519
46800000,2012.870117336659
47000000,2004.1146945971088
47500000,2009.8604642445941
47600000,2010.1126235170977
47900000,2011.2501685696247
48100000,2009.2386178448992
48300000,2011.3169220247391
48400000,2010.4920908472832
48500000,2010.4342324713614
48700000,2011.3825839352758
48900000,2011.0041850740004
49000000,2011.1700058864321
49100000,2011.1920079950453
49200000,2011.1594254027145
49300000,2011.7668572473137
49400000,2011.3564734351792
49800000,2011.2329196802423
50300000,2011.1285982220206
50400000,2012.81111503817
50500000,2011.6285346956427
50600000,2011.3260971394352
50700000,2011.0304559922763
50800000,2013.2131256813805
51000000,2011.8822187416558
51100000,2013.0277482773322
51200000,2010.1851862271449
52100000,2012.0191582305627
52200000,2012.118930373472
52700000,2012.7793111566784
52800000,2013.2814439379367
53100000,2011.5484125103394
53200000,2008.0531073545887
53500000,2011.4390305791599
53600000,2012.5591634240313
53700000,2013.1817362295792
53900000,2010.9910213261264
54000000,2010.8684816510267
54100000,2009.4923181426418
54300000,2011.9946131887218
54400000,2012.3414693951618
54600000,2012.478118725388
54700000,2012.6046555570765
54800000,2012.8033516312132
54900000,2012.3340437745226
55000000,2010.6777165359808
55100000,2010.6603055046824
55200000,2011.4329226576642
55300000,2010.1990365396912
55400000,2010.2401266972613
55500000,2010.2758497405277
55600000,2010.1398547600425
55700000,2014.657579769062
55800000,2010.2238147343173
55900000,2010.0274350936022
56000000,2011.613833797631
56100000,2010.073208537457
56300000,2010.0843940302968
56400000,2010.0323516546289
56500000,2010.358287886439
56600000,2010.1077786110125
56700000,2011.8924907594392
56800000,2012.063554595125
56900000,2012.0778173189553
57000000,2013.188040545989
57100000,2012.5625540241895
57200000,2013.0119337611877
57300000,2009.9517751447722
57400000,2012.466426044688
57500000,2012.4308913215332
57600000,2012.4713795716339
57800000,2012.463993212314
57900000,2012.3515849457372
58000000,2013.119739194985
58100000,2011.1253231344995
58200000,2011.0285549806483
58400000,2012.1891309016905
58600000,2007.9519316184774
58800000,2012.4345546486427
58900000,2013.3678138868618
59100000,2010.7234880570754
59200000,2010.8092276721763
59400000,2012.36058252593
59500000,2011.859218252284
60200000,2011.635884519187
60300000,2011.274982966963
60400000,2010.5780205331537
60500000,2010.6935767840987
60600000,2010.9690546315674
60700000,2010.0165436387053
60800000,2010.2069320957353
60900000,2013.525021977348
61000000,2009.825823770489
61200000,2010.2952801484812
61300000,2012.7676710257356
61400000,2012.5769479320766
61500000,2012.5712006662743
61600000,2012.1759392874344
61700000,2012.4747265911333
61800000,2012.9388594941984
62300000,2008.315111936502
62400000,2009.0788635085414
62500000,2008.4954393842718
62600000,2008.517769833742
62700000,2008.3984066864055
62800000,2009.7118008535228
62900000,2014.12285825629
63600000,2011.821746281744
63700000,2011.5261214240754
63800000,2011.2777001717855
63900000,2011.1509302308243
64000000,2010.9446220132804
64100000,2011.7700686382575
64200000,2011.0021615039577
64300000,2011.062219839452
64400000,2012.2332751926338
64500000,2010.8821815412048
64600000,2010.9407902720195
64700000,2011.688624871845
64800000,2010.9593884956612
64900000,2010.9478588233967
65200000,2009.090483794736
65500000,2009.5050521310545
65600000,2010.57345816471
65700000,2011.7344855251795
65900000,2011.6254407754172
66000000,2009.8027303747858
66100000,2011.8700181774402
66200000,2010.0964189013073
66300000,2010.2668507196456
66400000,2010.177148045308
66500000,2010.0731028871692
66600000,2010.882114702883
66700000,2010.8405391052456
66800000,2014.3634125153553
67000000,2004.5913169489822
67100000,2010.314040688956
67300000,2011.9947167328705
67500000,2011.4468252666804
68300000,2012.0878199061717
68400000,2011.920791100661
68500000,2008.4138352990012
68600000,2011.9000775285976
68900000,2012.2057737817263
69100000,2011.2610919678566
69400000,2012.9195797140333
69800000,2014.6003237106625
70100000,2012.7685134072112
70200000,2002.4459460197727
70300000,2008.5466992489771
70400000,2009.9159488011405
70500000,2009.4814759682033
70600000,2007.8470400706026
70900000,2012.8498188716237
71000000,2007.4676750342524
71200000,2010.3138251614075
71300000,2010.8373436705947
71400000,2011.3410053149487
71500000,2010.677721667082
71600000,2012.158022278657
72200000,2011.8154932605103
72600000,2009.5869922021748
73100000,2011.5529870383548
73500000,2011.1624497535927
73900000,2008.0135248610122
74100000,2003.7668859290707
74200000,2003.9215669403934
74300000,2003.9646757194462
75100000,2011.2083033491886
75300000,2012.152507499044
75400000,2012.6101755202528
75600000,2012.199105043514
75800000,2010.5056682438076
76200000,2013.7696696441676
76300000,2012.0909708719262
76700000,2013.0108316821184
76900000,2010.8890499649328
77000000,2010.545648558269
77200000,2010.8079491375447
77300000,2010.4375379488772
77500000,2011.4136209309409
77700000,2004.475652137843
77900000,2009.944391197645
78100000,2011.840974779049
78300000,2012.3589935685332
78700000,2013.3890677115683
79200000,2012.4276467726208
79300000,2011.7451533875378
79400000,2010.948528658151
79500000,2010.5975958747301
79600000,2012.1827030652655
79700000,2010.5747061874076
79800000,2011.9021080571902
80300000,2012.153259203411
80400000,2011.9866584375625
80500000,2002.738864197428
80700000,2010.9973406560434
81700000,2009.6042218607734
81800000,2009.9271972640436
81900000,2011.232847802105
82000000,2010.36222233347
82100000,2011.1632085353706
82200000,2011.9941977012252
82300000,2012.2727757596797
82400000,2009.879266889911
82500000,2010.676738193587
82600000,2010.5734372765914
82700000,2004.388825619436
82800000,2010.587982430836
82900000,2004.622608426503
83000000,2010.9383795341002
83400000,2012.10900046324
83800000,2013.1516583504886
83900000,2012.686936900992
84000000,2010.6188361912627
84700000,2012.8500914719557
84900000,2011.9070032630445
85400000,2011.4463451601973
85500000,2011.3162276655412
85600000,2010.808248071195
85700000,2011.4661534431498
85800000,2011.7295187030659
85900000,2011.2837242506398
86200000,2011.223917622695
86300000,2011.3384026862798
86400000,1991.1535201400443
86500000,2002.7391321640353
86800000,2009.3804314803044
86900000,2009.495614598899
87000000,2009.2895471022402
87100000,2012.0069745169885
87900000,1995.1488830754374
88100000,2011.38268094394
88200000,2011.181921731595
88300000,2011.2522784843272
88400000,2011.2693602249365
88500000,2011.2831387343963
88600000,2010.6347785427988
88700000,2011.6246533073613
88900000,2012.0793079331365
89000000,2012.1901069708706
89100000,2012.2193173876265
89200000,2011.1455949649003
89300000,2011.7005192955096
89400000,2013.092680012667
89500000,2012.2133566227017
89700000,2010.4137271734642
89800000,2009.7863564617355
89900000,2010.1868616916638
90000000,2010.042351690328
90100000,2009.8949644778472
90200000,2009.9825487572853
90300000,2009.9624113500254
90400000,2010.0023038168233
90500000,2010.1432997324177
90600000,2010.1437219617587
90700000,2010.234227799635
90800000,2010.2500672887131
90900000,2013.182739434177
91000000,2010.8926876373166
91100000,2010.5472941319294
91200000,2010.4206955585416
91300000,2010.5110597878058
91400000,2011.1436035194845
91500000,2011.112346799226
91700000,2009.6350900401476
91800000,2012.6505514672094
91900000,2009.9579311488442
92100000,2011.5037307491843
92200000,2014.2023499588172
92700000,2013.0514928091566
92800000,2012.1716868532287
93400000,2013.1189728228594
93600000,2012.979041279768
93800000,2012.7223105476232
93900000,2012.309500597604
94000000,2012.3692929176996
94100000,2012.0082135828745
94200000,2011.9421401434229
94300000,2012.0335994572908
94400000,2011.7621977023668
94600000,2010.498306399146
94700000,2012.1730492932497
95000000,2011.686145948187
95100000,2011.5780297096717
95200000,2011.6871880836065
95500000,2010.7962138385788
95700000,2010.6407917418533
95800000,2010.644230257171
95900000,2010.9188610809988
96000000,2012.1857864052436
96200000,2012.4883576201798
96300000,2012.4681686865238
96400000,2013.0707966405191
96500000,2012.9983875720523
96600000,2012.8251566750241
96700000,2013.349454163381
96900000,2010.1019734304432
97000000,2009.4011824414956
97300000,2009.109184370399
97700000,2008.8466990661514
98300000,2007.9708923142039
98400000,2012.1296459317546
98700000,2011.20180396891
99300000,2012.2160030819132
99500000,2011.583137318128
99700000,2012.6294425641368
99800000,2012.154665084427
99900000,2012.7304056444914
100000000,2011.8854374999464
100300000,2011.5763781242258
100400000,2011.0494857755464
100500000,2011.3028084878247
101600000,2012.406555116535
101700000,2012.3390935180123
101900000,2012.2453334229444
102000000,2012.1977959288624
102100000,2012.6616904301193
102200000,2012.59144431084
102300000,2004.2732035034287
102400000,2013.083933675463
102800000,2009.5998916041412
102900000,2012.3413372835412
103000000,2012.1871860021104
103100000,2012.378076039015
103200000,2012.0536893871467
103500000,2011.4852587798684
103800000,2012.0522330323633
103900000,2013.5828583852779
104100000,2007.5294567415626
104200000,2013.57457948697
104300000,2008.4567039330952
104500000,2012.570486666591
104700000,2013.3884827366965
104800000,2012.3798609432474
105200000,2012.705082237268
105400000,2011.6871809047361
105500000,2012.2547066619327
105600000,2010.2192531871956
106000000,2011.0370871628652
106100000,2012.2385948068672
106200000,2011.3353741899427
106600000,2009.7490414465788
106700000,2013.333416953984
107100000,2012.258999278389
107500000,2012.4174616049572
107900000,2012.5740556099738
108100000,2013.0216438653974
108200000,2012.914632844785
108300000,2012.4237968863256
108500000,2012.0090220544698
108600000,2011.9305709176137
108800000,2012.1900430245107
108900000,2011.9922303482986
109000000,2011.5811974365133
109100000,2011.549059323002
109200000,2012.658151912453
109400000,2011.9447193649212
109500000,2012.1651279249922
109600000,2012.422090567428
109700000,2011.830101773342
109800000,2011.8422219187205
109900000,2011.3231504342834
110000000,2012.0364873261524
110100000,2012.0593209108233
110200000,2012.2225165723205
110300000,2011.8889632899923
110400000,2011.7849039067237
110500000,2011.904151818223
110600000,2011.8576668768235
110700000,2011.3574908115581
110800000,2011.6691954065955
110900000,2011.5629301641814
111000000,2012.1651338576048
111100000,2012.101394956429
111200000,2012.209748375871
111300000,2010.6772441419319
111400000,2012.1225471093685
111500000,2012.2754835038427
111700000,2012.410175823582
111900000,2011.7731487833648
112100000,2011.749157681252
112200000,2010.9361387689985
112300000,2011.801204561073
112400000,2011.6440468874496
112500000,2012.3619494075438
112600000,2012.323882899822
112700000,2013.0561512551722
113000000,2011.5734383267418
113100000,2011.2803827418984
113200000,2011.3546285214165
113300000,2012.404772303401
113400000,2012.5940128525208
113600000,2011.7527970934966
113700000,2001.5846390601441
113900000,2012.1379960539448
114000000,2011.7814597179606
114200000,2012.0446391116582
114600000,2012.1140876206118
114900000,2012.764157282306
115100000,2011.3486850019337
115200000,2013.6176782812379
115300000,2011.3954383237135
115400000,2011.58336607052
115500000,2011.6938467164669
115600000,2011.5704572959512
115700000,2011.4761209573107
116100000,2011.2524625105382
116200000,2012.2528566280482
116300000,2012.131953408098
116500000,2011.1507494668485
116600000,2010.0895702350367
116700000,2010.8802472289146
116800000,2010.870474924089
116900000,2010.535244021198
117000000,2012.2141586655873
117100000,2010.8831107626634
117200000,2010.0226763826226
117300000,2012.6162162644816
117400000,2011.2679467806252
117500000,2012.3689792941357
117800000,2009.9293439066064
117900000,2012.8363433050436
118000000,2010.6800069897824
118100000,2011.2712557356717
118200000,2010.8493265232792
118300000,2011.0311901202617
118400000,2011.0869956937065
118500000,2010.9695575101837
118600000,2010.8916515730352
118700000,2010.5966682320873
118800000,2010.631575429385
118900000,2010.4955175462565
119000000,2010.7525889774677
119100000,2011.7039275467737
119200000,2012.6908377121051
119300000,2012.3722749876686
119400000,2011.9294613180323
119500000,2011.797731745704
119700000,2003.5808825519387
119900000,2011.8741094732472
120100000,2012.8886244916187
120200000,2011.2536620976616
120300000,2010.8553675321414
120400000,2011.8454807575338
120500000,2014.3179748161947
120600000,2014.0789692478447
120700000,2010.6698023777408
120800000,2012.5944591955183
120900000,2012.2510971493014
121200000,2013.2886841805337
121300000,2012.7930024679258
121400000,2003.9180282563295
121500000,2012.2392963910875
121600000,2012.8622078606338
121900000,2011.9206305866473
122200000,2011.5622578829784
122300000,2014.3332458079499
122400000,2012.1658866323123
122500000,2012.2101738511728
122900000,1992.0309485447963
123100000,2009.457956665137
123200000,2010.1797713277424
123300000,2009.90920804602
123400000,2009.844241762578
123500000,2009.6136740709298
123600000,2009.7956421015556
123700000,2009.9301818845472
123800000,2009.8227472364847
