"calibr","mean","median","lowerHPD","HigherHPD"
"1",0,1.27539216100427e-07,1.27412473715748e-07,1.07823852068109e-07,1.47999697967203e-07
"2",1,2.41560466937352e-09,1.91887726209506e-09,4.68426392792096e-13,6.37682844982868e-09
"3",2,4.32302747965031e-09,4.00267241687557e-09,9.58641370183548e-12,9.31931439314374e-09
"4",3,4.0424282013844e-09,3.59373011034502e-09,3.64575729149095e-11,9.21524269887373e-09
"5",4,2.0880280717423e-09,1.639846723626e-09,4.16218718124692e-13,5.54177496262624e-09
"6",5,5.0536679239883e-09,4.86809326618951e-09,1.02152146365153e-12,1.0206593549907e-08
"7",6,6.11869968982635e-09,5.65861245428539e-09,1.93532569564903e-10,1.25851531187719e-08
"8",7,4.99014639830144e-09,4.63489666244471e-09,7.33784931245164e-11,1.05416566902738e-08
"9",8,1.35871265169749e-09,9.82442775781066e-10,2.12883977505894e-12,3.96605893135492e-09
"10",9,3.72673793638143e-09,3.24611854294648e-09,1.07768570369931e-11,8.66207546314383e-09
"11",10,1.87359747597924e-09,1.43565062451487e-09,6.29500011966934e-13,5.10348484330198e-09
"12",11,2.47680798366188e-09,2.01592349466156e-09,3.62922764959079e-13,6.55542894653141e-09
"13",12,2.27641038901165e-09,1.85127825736693e-09,7.49087303343076e-12,5.77233318082249e-09
"14",13,8.12015768010506e-09,8.01644900154905e-09,3.03302691819924e-10,1.51873699631732e-08
"15",14,3.21960026498755e-09,2.83005149086802e-09,6.02704983711593e-11,7.39083011977436e-09
"16",15,2.20948224436525e-09,1.73581396500271e-09,8.86811877485545e-14,6.0076750538486e-09
"17",16,5.10882723896584e-09,4.74977169244164e-09,2.54156630901784e-11,1.08838016720729e-08
"18",17,6.51774721635183e-09,6.41883871125889e-09,1.74560735152394e-10,1.23858126495342e-08
"19",18,2.86353922565693e-09,2.41814191358139e-09,7.1541928641656e-13,7.14087691502448e-09
"20",19,6.01398639323832e-09,5.78290078275306e-09,1.14279140670585e-10,1.21637642635643e-08
"21",20,6.82304864787065e-09,6.70985814173036e-09,5.05369260837705e-12,1.30232033887564e-08
